model,representation,dataset,stage,accuracy,balanced_accuracy,f1,mcc,roc_auc
MLP,ESM-2,balanced,cv_mean,0.9007075471698114,0.9007760153929713,0.9000963074809405,0.8031484676816898,0.9585183433148083
MLP,ESM-2,balanced,cv_std,0.009880358521534632,0.010010200865942353,0.007839485844279665,0.02180812660715171,0.00917546913030647
MLP,ESM-2,balanced,test,0.9075471698113208,0.907554887839055,0.9078947368421053,0.8150981684373674,0.9653032671036095
MLP,ESM-2,imbalanced,cv_mean,0.9126453477092296,0.8969586701069362,0.8690996070252975,0.8060600378409821,0.9612402791248362
MLP,ESM-2,imbalanced,cv_std,0.007465089423573279,0.01230834238284133,0.011555457015625005,0.014832112730608027,0.006748150253603758
MLP,ESM-2,imbalanced,test,0.925997425997426,0.9122967403108824,0.8895292987512008,0.8344852679449168,0.9653909550471983
