model_1,representation_1,dataset_1,model_2,representation_2,dataset_2,metric,mean_1,mean_2,wilcoxon_statistic,p_value,significant,better_model
1D-CNN,ESM-2,balanced,MLP,ESM-2,imbalanced,balanced_accuracy,0.9021352988373614,0.9074298654133139,14.0,0.193359375,False,MLP | ESM-2 | imbalanced
Random Forest,DPC,balanced,Random Forest,Physicochemical,balanced,balanced_accuracy,0.8898619748491987,0.8810308201692771,15.0,0.232421875,False,Random Forest | DPC | balanced
1D-CNN,ESM-2,balanced,MLP,ESM-2,balanced,balanced_accuracy,0.9021352988373614,0.9047842099770523,15.0,0.232421875,False,MLP | ESM-2 | balanced
SVM,Physicochemical,balanced,Gradient Boosting,Physicochemical,balanced,balanced_accuracy,0.8628209960475971,0.8615114634002952,15.0,0.232421875,False,SVM | Physicochemical | balanced
Random Forest,DPC,imbalanced,MLP,ESM-2,imbalanced,balanced_accuracy,0.9030882571600312,0.9074298654133139,12.0,0.25,False,MLP | ESM-2 | imbalanced
SVM,AAC,balanced,Random Forest,AAC,imbalanced,balanced_accuracy,0.8904960184398533,0.8974587898205659,16.0,0.275390625,False,Random Forest | AAC | imbalanced
SVM,DPC,imbalanced,Random Forest,DPC,balanced,balanced_accuracy,0.8981140873511887,0.8898619748491987,16.0,0.275390625,False,SVM | DPC | imbalanced
SVM,DPC,imbalanced,Random Forest,DPC,imbalanced,balanced_accuracy,0.8981140873511887,0.9030882571600312,16.0,0.275390625,False,Random Forest | DPC | imbalanced
Random Forest,AAC,imbalanced,1D-CNN,ESM-2,imbalanced,balanced_accuracy,0.8974587898205659,0.9058325735164988,16.0,0.275390625,False,1D-CNN | ESM-2 | imbalanced
SVM,AAC,balanced,SVM,DPC,imbalanced,balanced_accuracy,0.8904960184398533,0.8981140873511887,16.0,0.275390625,False,SVM | DPC | imbalanced
Random Forest,AAC,imbalanced,SVM,DPC,balanced,balanced_accuracy,0.8974587898205659,0.9040300489505964,16.0,0.275390625,False,SVM | DPC | balanced
Gradient Boosting,AAC,imbalanced,SVM,Physicochemical,balanced,balanced_accuracy,0.8752663015071711,0.8628209960475971,17.0,0.322265625,False,Gradient Boosting | AAC | imbalanced
Random Forest,DPC,balanced,Random Forest,Physicochemical,imbalanced,balanced_accuracy,0.8898619748491987,0.8775330930111661,17.0,0.322265625,False,Random Forest | DPC | balanced
SVM,AAC,balanced,SVM,AAC,imbalanced,balanced_accuracy,0.8904960184398533,0.8829677179034372,18.0,0.375,False,SVM | AAC | balanced
Random Forest,AAC,imbalanced,1D-CNN,ESM-2,balanced,balanced_accuracy,0.8974587898205659,0.9021352988373614,18.0,0.375,False,1D-CNN | ESM-2 | balanced
Random Forest,AAC,balanced,MLP,ESM-2,imbalanced,balanced_accuracy,0.9003386568246793,0.9074298654133139,18.0,0.375,False,MLP | ESM-2 | imbalanced
Gradient Boosting,DPC,balanced,Gradient Boosting,Physicochemical,imbalanced,balanced_accuracy,0.8588269710688575,0.8513922218499443,18.0,0.375,False,Gradient Boosting | DPC | balanced
SVM,Physicochemical,balanced,Gradient Boosting,Physicochemical,imbalanced,balanced_accuracy,0.8628209960475971,0.8513922218499443,18.0,0.375,False,SVM | Physicochemical | balanced
1D-CNN,ESM-2,balanced,1D-CNN,ESM-2,imbalanced,balanced_accuracy,0.9021352988373614,0.9058325735164988,19.0,0.431640625,False,1D-CNN | ESM-2 | imbalanced
Gradient Boosting,Physicochemical,balanced,Gradient Boosting,Physicochemical,imbalanced,balanced_accuracy,0.8615114634002952,0.8513922218499443,19.0,0.431640625,False,Gradient Boosting | Physicochemical | balanced
SVM,DPC,imbalanced,1D-CNN,ESM-2,balanced,balanced_accuracy,0.8981140873511887,0.9021352988373614,19.0,0.431640625,False,1D-CNN | ESM-2 | balanced
SVM,DPC,imbalanced,MLP,ESM-2,balanced,balanced_accuracy,0.8981140873511887,0.9047842099770523,19.0,0.431640625,False,MLP | ESM-2 | balanced
Random Forest,AAC,imbalanced,Random Forest,DPC,balanced,balanced_accuracy,0.8974587898205659,0.8898619748491987,19.0,0.431640625,False,Random Forest | AAC | imbalanced
Gradient Boosting,AAC,balanced,Random Forest,Physicochemical,balanced,balanced_accuracy,0.8777165436106324,0.8810308201692771,20.0,0.4921875,False,Random Forest | Physicochemical | balanced
Random Forest,DPC,imbalanced,1D-CNN,ESM-2,imbalanced,balanced_accuracy,0.9030882571600312,0.9058325735164988,20.0,0.4921875,False,1D-CNN | ESM-2 | imbalanced
SVM,AAC,imbalanced,Gradient Boosting,AAC,balanced,balanced_accuracy,0.8829677179034372,0.8777165436106324,21.0,0.556640625,False,SVM | AAC | imbalanced
Random Forest,DPC,imbalanced,1D-CNN,ESM-2,balanced,balanced_accuracy,0.9030882571600312,0.9021352988373614,21.0,0.556640625,False,Random Forest | DPC | imbalanced
MLP,ESM-2,balanced,MLP,ESM-2,imbalanced,balanced_accuracy,0.9047842099770523,0.9074298654133139,21.0,0.556640625,False,MLP | ESM-2 | imbalanced
Gradient Boosting,DPC,imbalanced,SVM,Physicochemical,imbalanced,balanced_accuracy,0.8436135796139462,0.845419097009328,22.0,0.607421875,False,SVM | Physicochemical | imbalanced
1D-CNN,ESM-2,imbalanced,MLP,ESM-2,imbalanced,balanced_accuracy,0.9058325735164988,0.9074298654133139,22.0,0.625,False,MLP | ESM-2 | imbalanced
Gradient Boosting,DPC,balanced,SVM,Physicochemical,balanced,balanced_accuracy,0.8588269710688575,0.8628209960475971,22.0,0.625,False,SVM | Physicochemical | balanced
Gradient Boosting,DPC,balanced,Gradient Boosting,Physicochemical,balanced,balanced_accuracy,0.8588269710688575,0.8615114634002952,22.0,0.625,False,Gradient Boosting | Physicochemical | balanced
Random Forest,AAC,balanced,SVM,DPC,imbalanced,balanced_accuracy,0.9003386568246793,0.8981140873511887,22.0,0.625,False,Random Forest | AAC | balanced
Gradient Boosting,AAC,balanced,Gradient Boosting,AAC,imbalanced,balanced_accuracy,0.8777165436106324,0.8752663015071711,22.0,0.625,False,Gradient Boosting | AAC | balanced
Random Forest,AAC,balanced,Random Forest,DPC,imbalanced,balanced_accuracy,0.9003386568246793,0.9030882571600312,22.0,0.625,False,Random Forest | DPC | imbalanced
SVM,AAC,imbalanced,Random Forest,DPC,balanced,balanced_accuracy,0.8829677179034372,0.8898619748491987,22.0,0.625,False,Random Forest | DPC | balanced
Gradient Boosting,AAC,imbalanced,Random Forest,Physicochemical,balanced,balanced_accuracy,0.8752663015071711,0.8810308201692771,22.0,0.625,False,Random Forest | Physicochemical | balanced
Random Forest,AAC,imbalanced,MLP,ESM-2,balanced,balanced_accuracy,0.8974587898205659,0.9047842099770523,23.0,0.6953125,False,MLP | ESM-2 | balanced
SVM,DPC,balanced,1D-CNN,ESM-2,balanced,balanced_accuracy,0.9040300489505964,0.9021352988373614,24.0,0.76953125,False,SVM | DPC | balanced
Random Forest,AAC,balanced,SVM,DPC,balanced,balanced_accuracy,0.9003386568246793,0.9040300489505964,24.0,0.76953125,False,SVM | DPC | balanced
SVM,AAC,imbalanced,Random Forest,Physicochemical,balanced,balanced_accuracy,0.8829677179034372,0.8810308201692771,24.0,0.76953125,False,SVM | AAC | imbalanced
Random Forest,AAC,balanced,Random Forest,AAC,imbalanced,balanced_accuracy,0.9003386568246793,0.8974587898205659,24.0,0.76953125,False,Random Forest | AAC | balanced
SVM,AAC,balanced,Random Forest,DPC,balanced,balanced_accuracy,0.8904960184398533,0.8898619748491987,25.0,0.845703125,False,SVM | AAC | balanced
Random Forest,AAC,balanced,1D-CNN,ESM-2,balanced,balanced_accuracy,0.9003386568246793,0.9021352988373614,25.0,0.845703125,False,1D-CNN | ESM-2 | balanced
Random Forest,DPC,imbalanced,MLP,ESM-2,balanced,balanced_accuracy,0.9030882571600312,0.9047842099770523,25.0,0.845703125,False,MLP | ESM-2 | balanced
SVM,DPC,balanced,1D-CNN,ESM-2,imbalanced,balanced_accuracy,0.9040300489505964,0.9058325735164988,25.0,0.845703125,False,1D-CNN | ESM-2 | imbalanced
Gradient Boosting,AAC,imbalanced,Random Forest,Physicochemical,imbalanced,balanced_accuracy,0.8752663015071711,0.8775330930111661,25.0,0.845703125,False,Random Forest | Physicochemical | imbalanced
Random Forest,AAC,imbalanced,SVM,DPC,imbalanced,balanced_accuracy,0.8974587898205659,0.8981140873511887,26.0,0.921875,False,SVM | DPC | imbalanced
Random Forest,AAC,balanced,1D-CNN,ESM-2,imbalanced,balanced_accuracy,0.9003386568246793,0.9058325735164988,26.0,0.921875,False,1D-CNN | ESM-2 | imbalanced
Random Forest,Physicochemical,balanced,Random Forest,Physicochemical,imbalanced,balanced_accuracy,0.8810308201692771,0.8775330930111661,26.0,0.921875,False,Random Forest | Physicochemical | balanced
SVM,DPC,balanced,Random Forest,DPC,imbalanced,balanced_accuracy,0.9040300489505964,0.9030882571600312,26.0,0.921875,False,SVM | DPC | balanced
Gradient Boosting,AAC,balanced,Random Forest,Physicochemical,imbalanced,balanced_accuracy,0.8777165436106324,0.8775330930111661,26.0,0.921875,False,Gradient Boosting | AAC | balanced
1D-CNN,ESM-2,imbalanced,MLP,ESM-2,balanced,balanced_accuracy,0.9058325735164988,0.9047842099770523,26.0,0.921875,False,1D-CNN | ESM-2 | imbalanced
SVM,DPC,balanced,MLP,ESM-2,imbalanced,balanced_accuracy,0.9040300489505964,0.9074298654133139,27.0,1.0,False,MLP | ESM-2 | imbalanced
SVM,DPC,balanced,MLP,ESM-2,balanced,balanced_accuracy,0.9040300489505964,0.9047842099770523,27.0,1.0,False,MLP | ESM-2 | balanced
