model,representation,dataset,stage,accuracy,balanced_accuracy,f1,mcc,roc_auc
One-Class SVM,AAC,balanced,cv_mean,0.5186320754716982,0.5185925317002188,0.5217516935629186,0.037307758042736075,0.5163419542219729
One-Class SVM,AAC,balanced,cv_std,0.023571930393083848,0.02361498518677441,0.027314105826433573,0.047322658566205086,0.021202136400755526
One-Class SVM,AAC,test,test_score,0.5,0.5000267007486889,0.499054820415879,5.3403018360256813e-05,0.49914023589221446
Isolation Forest,AAC,balanced,cv_mean,0.4964622641509434,0.4990454575796008,0.0027777777777777775,-0.01676678252110752,0.28216604569021364
Isolation Forest,AAC,balanced,cv_std,0.0019014758840326747,0.0018896595382148658,0.005928818738363748,0.028861464927997835,0.03344466200913381
Isolation Forest,AAC,test,test_score,0.4962264150943396,0.4990405530971089,0.0037313432835820895,-0.018060165760488786,0.2732091807854292
