model,representation,dataset,stage,accuracy,balanced_accuracy,f1,mcc,roc_auc
One-Class SVM,Physicochemical,balanced,cv_mean,0.6193396226415093,0.6193540815547788,0.6195418888789036,0.23907339434140268,0.6675343065464883
One-Class SVM,Physicochemical,balanced,cv_std,0.02342397927912291,0.023332598409154172,0.03111464505472196,0.046756765074575504,0.02827243837409421
One-Class SVM,Physicochemical,test,test_score,0.6066037735849057,0.6067246725598185,0.5994236311239193,0.213630050820252,0.6573902332221396
Isolation Forest,Physicochemical,balanced,cv_mean,0.5691037735849057,0.5708166095092652,0.36044494400205146,0.18823396445098386,0.6383350613788888
Isolation Forest,Physicochemical,balanced,cv_std,0.019902362688480904,0.019601615428427796,0.035494481418063245,0.052468097472531006,0.02229923055829203
Isolation Forest,Physicochemical,test,test_score,0.5584905660377358,0.5604202341833665,0.3333333333333333,0.1650437594607992,0.6498855427906198
