model,representation,dataset,stage,accuracy,balanced_accuracy,f1,mcc,roc_auc
1D-CNN,ESM-2,balanced,cv_mean,0.8974056603773585,0.8974889642608217,0.8966016439818105,0.7977625510921776,0.9582602246179823
1D-CNN,ESM-2,balanced,cv_std,0.013051853550223251,0.013036430648433732,0.01372843307428282,0.023906229510819096,0.007705858972662353
1D-CNN,ESM-2,balanced,test,0.9037735849056604,0.9039841077143803,0.9005847953216374,0.8099313312798807,0.9626759134326126
1D-CNN,ESM-2,imbalanced,cv_mean,0.9129705126845382,0.9038086018232988,0.8738241462798122,0.8087383006110672,0.9613061578734602
1D-CNN,ESM-2,imbalanced,cv_std,0.015327498096952113,0.007389259299979085,0.01660551378786013,0.02880215915484625,0.003902344126130029
1D-CNN,ESM-2,imbalanced,test,0.916988416988417,0.8996119023949224,0.8746355685131195,0.8138815701956214,0.9579358793663278
